RESULTS

Image Name,Pred Gender,Pred Emotion,Real Emotion,True/False
Images/fear_90994581.jpg,Woman,fear,fear,true
Images/neutral_46552887.jpg,ERROR,ERROR,neutral,undetectable
Images/angry_18131739.jpg,Woman,neutral,angry,false
Images/happy_79620437.jpg,Woman,happy,happy,true
Images/neutral_265313.jpg,Man,neutral,neutral,true
Images/sad_21419251.jpg,Man,fear,sad,false
Images/happy_34920736.jpg,Woman,happy,happy,true
Images/neutral_43477229.jpg,Man,neutral,neutral,true
Images/angry_48156348.jpg,ERROR,ERROR,angry,undetectable
Images/sad_97426469.jpg,ERROR,ERROR,sad,undetectable
Images/angry_89421273.jpg,Man,angry,angry,true
Images/sad_14653915.jpg,ERROR,ERROR,sad,undetectable
Images/fear_27550898.jpg,Man,neutral,fear,false
Images/neutral_46749562.jpg,ERROR,ERROR,neutral,undetectable
Images/surprise_24011006.jpg,ERROR,ERROR,surprise,undetectable
Images/surprise_66116810.jpg,Man,neutral,surprise,false
Images/happy_35396194.jpg,Woman,neutral,happy,false
Images/happy_13280750.jpg,ERROR,ERROR,happy,undetectable
Images/fear_17231955.jpg,Man,fear,fear,true
Images/surprise_42928793.jpg,Woman,surprise,surprise,true
Images/neutral_65538215.jpg,Man,angry,neutral,false
Images/angry_335516.jpg,Man,angry,angry,true
Images/happy_82254087.jpg,Man,happy,happy,true
Images/happy_73677078.jpg,ERROR,ERROR,happy,undetectable
Images/surprise_53324760.jpg,Woman,surprise,surprise,true
Images/happy_8281675.jpg,Man,neutral,happy,false
Images/happy_98334368.jpg,Woman,happy,happy,true
Images/angry_64803509.jpg,Man,angry,angry,true
Images/neutral_86872627.jpg,Woman,sad,neutral,false
Images/surprise_27752387.jpg,Woman,neutral,surprise,false
Images/happy_96171452.jpg,Man,surprise,happy,false
Images/fear_11980817.jpg,Man,fear,fear,true
Images/surprise_18884751.jpg,Woman,surprise,surprise,true
Images/fear_40423206.jpg,ERROR,ERROR,fear,undetectable
Images/neutral_19690534.jpg,ERROR,ERROR,neutral,undetectable
Images/fear_86498201.jpg,Woman,fear,fear,true
Images/happy_81973751.jpg,ERROR,ERROR,happy,undetectable
Images/disgust_39191720.jpg,Woman,disgust,disgust,true
Images/fear_52603425.jpg,Man,fear,fear,true
Images/surprise_5114163.jpg,Man,surprise,surprise,true
Images/neutral_27472256.jpg,ERROR,ERROR,neutral,undetectable
Images/surprise_56072208.jpg,ERROR,ERROR,surprise,undetectable
Images/surprise_43692311.jpg,ERROR,ERROR,surprise,undetectable
Images/happy_61066077.jpg,Man,fear,happy,false
Images/angry_89957354.jpg,ERROR,ERROR,angry,undetectable
Images/fear_48286360.jpg,ERROR,ERROR,fear,undetectable
Images/happy_31787410.jpg,Man,happy,happy,true
Images/neutral_21955065.jpg,Man,neutral,neutral,true
Images/happy_54623349.jpg,Woman,happy,happy,true
Images/fear_21255570.jpg,ERROR,ERROR,fear,undetectable
Images/sad_46006300.jpg,ERROR,ERROR,sad,undetectable
Images/neutral_40964978.jpg,ERROR,ERROR,neutral,undetectable
Images/angry_23991674.jpg,ERROR,ERROR,angry,undetectable
Images/neutral_63723339.jpg,ERROR,ERROR,neutral,undetectable
Images/neutral_61944854.jpg,ERROR,ERROR,neutral,undetectable
Images/happy_54116817.jpg,Woman,happy,happy,true
Images/surprise_742095.jpg,ERROR,ERROR,surprise,undetectable
Images/sad_18419813.jpg,Man,surprise,sad,false
Images/angry_32720867.jpg,ERROR,ERROR,angry,undetectable
Images/sad_18802845.jpg,ERROR,ERROR,sad,undetectable
Images/neutral_60838687.jpg,ERROR,ERROR,neutral,undetectable
Images/fear_45742840.jpg,ERROR,ERROR,fear,undetectable
